Synergy2,,,,,,
Applicator,20x20,,,,,
Dimensions,id,4,6,8,10,12
20x20,1,1.000,1.000,1.000,1.000,1.000
18x20,2,1.000,1.000,1.000,1.000,1.000
14x20,3,1.000,1.000,1.000,1.000,1.000
12x20,4,1.000,1.000,1.000,1.000,1.000
10x20,5,1.000,1.000,1.000,1.000,1.000
8x20,6,1.000,1.000,1.000,1.000,1.000
8x18,7,1.000,1.000,1.000,1.000,1.000
8x16,8,1.000,1.000,1.000,1.000,1.000
6x16,9,1.000,1.000,1.000,1.000,1.000
7x18.5,11,1.000,1.000,1.000,1.000,1.000
6x20,12,1.000,1.000,1.000,1.000,1.000
7x20,13,1.000,1.000,1.000,1.000,1.000
